year,zipcode,type_complain
2010,10001,307
2010,10002,665
2010,10003,382
2010,10004,4
2010,10005,3
2010,10006,2
2010,10007,4
2010,10009,584
2010,10010,115
2010,10011,357
2010,10012,178
2010,10013,207
2010,10014,401
2010,10016,231
2010,10017,54
2010,10018,60
2010,10019,305
2010,10021,158
2010,10022,210
2010,10023,239
2010,10024,389
2010,10025,963
2010,10026,759
2010,10027,911
2010,10028,314
2010,10029,800
2010,10030,518
2010,10031,1784
2010,10032,1859
2010,10033,1468
2010,10034,1010
2010,10035,391
2010,10036,391
2010,10037,523
2010,10038,38
2010,10039,348
2010,10040,2013
2010,10044,11
2010,10065,128
2010,10075,214
2010,10128,250
2010,10280,1
2010,10282,3
2010,10301,261
2010,10302,102
2010,10303,110
2010,10304,219
2010,10305,66
2010,10306,127
2010,10307,5
2010,10308,8
2010,10309,13
2010,10310,135
2010,10312,18
2010,10314,44
2010,10451,1073
2010,10452,2278
2010,10453,2739
2010,10454,433
2010,10455,824
2010,10456,1895
2010,10457,2103
2010,10458,2618
2010,10459,1249
2010,10460,1502
2010,10461,600
2010,10462,1570
2010,10463,1432
2010,10464,7
2010,10465,139
2010,10466,974
2010,10467,3178
2010,10468,2683
2010,10469,531
2010,10470,320
2010,10471,75
2010,10472,1387
2010,10473,360
2010,10474,282
2010,10475,20
2010,11001,8
2010,11004,4
2010,11040,2
2010,11101,129
2010,11102,313
2010,11103,342
2010,11104,293
2010,11105,273
2010,11106,264
2010,11201,205
2010,11203,1667
2010,11204,385
2010,11205,343
2010,11206,584
2010,11207,1612
2010,11208,1306
2010,11209,1023
2010,11210,1111
2010,11211,571
2010,11212,1513
2010,11213,1984
2010,11214,798
2010,11215,428
2010,11216,1388
2010,11217,254
2010,11218,798
2010,11219,597
2010,11220,711
2010,11221,1684
2010,11222,331
2010,11223,415
2010,11224,246
2010,11225,1929
2010,11226,3299
2010,11228,80
2010,11229,776
2010,11230,1167
2010,11231,122
2010,11232,288
2010,11233,1570
2010,11234,328
2010,11235,749
2010,11236,656
2010,11237,1014
2010,11238,749
2010,11239,1
2010,11354,295
2010,11355,476
2010,11356,96
2010,11357,57
2010,11358,114
2010,11360,29
2010,11361,54
2010,11362,47
2010,11363,13
2010,11364,122
2010,11365,53
2010,11366,19
2010,11367,369
2010,11368,568
2010,11369,153
2010,11370,101
2010,11372,524
2010,11373,528
2010,11374,340
2010,11375,383
2010,11377,464
2010,11378,109
2010,11379,96
2010,11385,827
2010,11411,59
2010,11412,266
2010,11413,268
2010,11414,44
2010,11415,150
2010,11416,192
2010,11417,156
2010,11418,272
2010,11419,357
2010,11420,200
2010,11421,299
2010,11422,147
2010,11423,285
2010,11426,12
2010,11427,111
2010,11428,105
2010,11429,130
2010,11432,399
2010,11433,397
2010,11434,397
2010,11435,512
2010,11436,124
2010,11691,632
2010,11692,174
2010,11693,70
